taxpayer_id,filing_status,state,tax_year,primary_income_src,gross_income,capital_gains,dividend_income,other_income,total_income,standard_deduction,itemized_deductions,uses_itemized,deduction_used,taxable_income,federal_tax,state_tax,social_security_tax,medicare_tax,fica_total,total_tax_liability,effective_tax_rate,marginal_tax_rate,tax_withheld,refund_or_owed,dependents,child_tax_credit,filing_date,mortgage_interest,charitable_giving,medical_expenses,salt_deduction
22,married,NC,2024,wages,50171.62,10400.87,0,0,60572.49,29200,0,False,29200,31372.49,3300.7,1647.06,3110.64,727.49,3838.13,8785.89,14.5,12.0,3171.2,-129.5,4,8000,2023-06-01,0,0,0,0
23,married,TX,2024,wages,94358.13,22536.18,8482.08,0,125376.39,29200,0,False,29200,96176.39,11264.81,0.0,5850.2,1368.19,7218.389999999999,18483.2,14.74,22.0,9922.47,-1342.34,4,8000,2024-02-21,0,0,0,0
24,hoh,TX,2024,self_employment,174952.05,42553.85,433.64,3321.85,221261.39,21900,77956.93,True,77956.93,143304.46,27435.57,0.0,10453.2,2536.8,12990.0,40425.57,18.27,24.0,25832.16,-1603.41,1,2000,2023-08-17,25989.89,8370.77,3688.82,25828.5
25,single,FL,2024,rental,55956.67,16231.17,0,0,72187.84,14600,0,False,14600,57587.84,7722.32,0.0,3469.31,811.37,4280.68,12003.0,16.63,22.0,7489.91,-232.41,4,8000,2023-12-06,0,0,0,0
26,single,NY,2024,investment,93391.07,7437.66,0,0,100828.73,14600,21103.57,True,21103.57,79725.16,12592.54,5461.17,5790.25,1354.17,7144.42,25198.13,24.99,22.0,13421.49,828.95,1,2000,2024-01-08,0,7979.21,0,4225.14
27,married,NY,2024,investment,313461.93,11719.59,15896.36,0,341077.88,29200,0,False,29200,311877.88,60935.69,21363.63,10453.2,4545.2,14998.400000000001,97297.72,28.53,24.0,64540.8,3605.11,4,8000,2023-05-11,0,0,0,0
28,single,OH,2024,rental,104824.51,19356.31,0,0,124180.82,14600,0,False,14600,109580.82,19341.9,4383.23,6499.12,1519.96,8019.08,31744.21,25.56,24.0,18105.45,-1236.45,3,6000,2024-08-16,0,0,0,0
29,hoh,IL,2024,rental,71850.04,11018.36,6896.4,6588.51,96353.31,21900,0,False,21900,74453.31,11432.73,3685.44,4454.7,1041.83,5496.53,20614.7,21.39,22.0,11994.72,561.99,4,8000,2023-12-10,0,0,0,0
30,single,FL,2024,investment,116197.13,0,0,0,116197.13,14600,14988.11,True,14988.11,101209.02,17332.66,0.0,7204.22,1684.86,8889.08,26221.74,22.57,24.0,18637.62,1304.96,0,0,2024-03-11,1732.95,0,3791.7,8869.59
31,single,TX,2024,retirement,66454.99,18291.14,0,0,84746.13,14600,30568.96,True,30568.96,54177.17,6971.98,0.0,4120.21,963.6,5083.81,12055.79,14.23,22.0,6259.08,-712.9,3,6000,2024-04-05,7325.55,0,5904.67,11393.28
32,married,FL,2024,investment,384077.77,72216.04,0,0,456293.81,29200,0,False,29200,427093.81,92043.02,0.0,10453.2,5569.13,16022.330000000002,108065.35,23.68,32.0,85739.41,-6303.61,2,4000,2024-07-07,0,0,0,0
33,single,TX,2024,self_employment,57783.37,12245.78,0,0,70029.15,14600,0,False,14600,55429.15,7247.41,0.0,3582.57,837.86,4420.43,11667.84,16.66,22.0,7340.06,92.65,3,6000,2023-03-05,0,0,0,0
34,single,OH,2024,rental,136677.39,28518.68,10463.95,0,175660.02,14600,0,False,14600,161060.02,31696.9,6442.4,8474.0,1981.82,10455.82,48595.12,27.66,24.0,30287.26,-1409.64,3,6000,2024-03-05,0,0,0,0
35,hoh,NC,2024,retirement,109781.13,0,0,0,109781.13,21900,0,False,21900,87881.13,14386.85,4613.76,6806.43,1591.83,8398.26,27398.87,24.96,22.0,15115.72,728.87,3,6000,2023-06-19,0,0,0,0
36,married,TX,2024,retirement,73412.36,13035.67,616.28,0,87064.31,29200,3994.8,False,29200,57864.31,6479.72,0.0,4551.57,1064.48,5616.049999999999,12095.77,13.89,12.0,7356.82,877.1,3,6000,2023-09-16,0,0,0,0
37,single,GA,2024,wages,193530.46,0,4339.38,0,197869.84,14600,18630.87,True,18630.87,179238.97,36059.85,9858.14,10453.2,2806.19,13259.390000000001,59177.38,29.91,24.0,31888.33,-4171.52,1,2000,2024-04-21,0,0,0,18630.87
38,hoh,WA,2024,investment,88055.63,19757.72,0,9647.21,117460.56,21900,0,False,21900,95560.56,16076.32,0.0,5459.45,1276.81,6736.26,22812.58,19.42,22.0,13788.72,-2287.6,2,4000,2024-08-12,0,0,0,0
39,hoh,OH,2024,rental,141805.88,0,0,2428.49,144234.37,21900,44467.39,True,44467.39,99766.98,17001.74,3990.68,8791.96,2056.19,10848.15,31840.57,22.08,22.0,17754.29,752.55,0,0,2024-03-06,0,17524.96,12461.07,0
40,married,NY,2024,rental,144510.26,35927.01,6293.24,9654.74,196385.25,29200,0,False,29200,167185.25,26886.75,11452.19,8959.64,2095.4,11055.039999999999,49393.98,25.15,22.0,29372.69,2485.94,4,8000,2024-05-10,0,0,0,0
41,married,OH,2024,retirement,46839.55,11673.32,0,2438.63,60951.5,29200,0,False,29200,31751.5,3346.18,1270.06,2904.05,679.17,3583.2200000000003,8199.46,13.45,12.0,3310.75,-35.43,4,8000,2024-11-15,0,0,0,0
42,married,IL,2024,wages,136218.96,0,0,0,136218.96,29200,0,False,29200,107018.96,13650.17,5297.44,8445.58,1975.17,10420.75,29368.36,21.56,22.0,12747.86,-902.31,4,8000,2024-12-19,0,0,0,0
43,married,NC,2024,wages,141241.13,0,0,0,141241.13,29200,9771.01,False,29200,112041.13,14755.05,5882.16,8756.95,2048.0,10804.95,31442.16,22.26,22.0,13618.79,-1136.26,4,8000,2024-01-13,0,0,9771.01,0
44,married,NC,2024,retirement,54375.74,8978.33,0,0,63354.07,29200,0,False,29200,34154.07,3634.49,1793.09,3371.3,788.45,4159.75,9587.33,15.13,12.0,3423.64,-210.85,1,2000,2023-05-04,0,0,0,0
45,hoh,FL,2024,investment,64179.6,14675.11,0,0,78854.71,21900,15269.08,False,21900,56954.71,7583.04,0.0,3979.14,930.6,4909.74,12492.78,15.84,22.0,6477.77,-1105.27,4,8000,2023-05-10,11563.21,3705.87,0,0
46,married,CA,2024,wages,149505.77,5663.85,7338.92,5740.64,168249.18,29200,22730.22,False,29200,139049.18,20696.82,12931.57,9269.36,2167.83,11437.19,45065.58,26.79,22.0,21500.55,803.73,0,0,2023-06-05,0,0,0,12317.77
47,single,VA,2024,investment,47164.55,0,0,0,47164.55,14600,0,False,14600,32564.55,3675.75,1872.46,2924.2,683.89,3608.0899999999997,9156.3,19.41,12.0,3781.75,106.0,4,8000,2023-08-20,0,0,0,0
48,hoh,OH,2024,rental,137190.61,0,0,0,137190.61,21900,15551.93,False,21900,115290.61,20712.25,4611.62,8505.82,1989.26,10495.08,35818.95,26.11,24.0,21035.31,323.06,1,2000,2023-01-03,0,2492.47,13059.46,0
49,married,GA,2024,retirement,66991.25,0,0,0,66991.25,29200,0,False,29200,37791.25,4070.95,2078.52,4153.46,971.37,5124.83,11274.3,16.83,12.0,4510.13,439.18,0,0,2024-12-04,0,0,0,0
50,single,WA,2024,retirement,86118.3,10983.67,0,0,97101.97,14600,10010.47,False,14600,82501.97,13203.43,0.0,5339.33,1248.72,6588.05,19791.48,20.38,22.0,13950.79,747.36,3,6000,2023-10-06,1504.4,0,0,8506.07
51,hoh,NC,2024,rental,71286.24,19021.08,4303.65,0,94610.97,21900,0,False,21900,72710.97,11049.41,3817.33,4419.75,1033.65,5453.4,20320.14,21.48,22.0,11627.18,577.77,4,8000,2024-08-24,0,0,0,0
52,single,WA,2024,retirement,24023.17,3390.88,2200.7,0,29614.75,14600,0,False,14600,15014.75,1569.77,0.0,1489.44,348.34,1837.78,3407.55,11.51,12.0,1609.95,40.18,3,5922.95,2023-04-04,0,0,0,0
53,married,IL,2024,rental,56663.18,14580.57,0,0,71243.75,29200,0,False,29200,42043.75,4581.25,2081.17,3513.12,821.62,4334.74,10997.16,15.44,12.0,4290.18,-291.07,3,6000,2024-07-17,0,0,0,0
54,single,GA,2024,wages,95766.36,0,3870.64,0,99637.0,14600,21312.94,True,21312.94,78324.06,12284.29,4307.82,5937.51,1388.61,7326.12,23918.23,24.01,22.0,12465.68,181.39,2,4000,2024-03-24,8338.06,0,0,0
55,hoh,GA,2024,wages,31495.62,7552.46,978.73,0,40026.81,21900,0,False,21900,18126.81,1943.22,996.97,1952.73,456.69,2409.42,5349.61,13.37,12.0,1889.58,-53.64,1,2000,2023-04-27,0,0,0,0
56,married,NY,2024,self_employment,107199.47,16365.24,0,9802.45,133367.16,29200,0,False,29200,104167.16,13022.78,7135.45,6646.37,1554.39,8200.76,28358.99,21.26,22.0,13223.06,200.28,3,6000,2023-07-15,0,0,0,0
57,hoh,NC,2024,self_employment,174844.98,0,7255.06,5077.38,187177.42,21900,38063.69,True,38063.69,149113.73,28829.8,7828.47,10453.2,2535.25,12988.45,49646.72,26.52,24.0,29278.83,449.03,4,8000,2024-01-22,0,0,28046.34,0
58,married,IL,2024,self_employment,196443.31,0,0,4107.75,200551.06,29200,0,False,29200,171351.06,27803.23,8481.88,10453.2,2848.43,13301.630000000001,49586.74,24.73,22.0,27577.83,-225.4,3,6000,2024-01-31,0,0,0,0
59,hoh,TX,2024,rental,145075.42,0,4816.43,0,149891.85,21900,28986.91,True,28986.91,120904.94,22059.69,0.0,8994.68,2103.59,11098.27,33157.96,22.12,24.0,22875.41,815.72,3,6000,2024-10-27,0,837.4,0,21823.31
60,single,IL,2024,retirement,58000.94,0,4404.6,358.99,62764.53,14600,0,False,14600,48164.53,5649.2,2384.14,3596.06,841.01,4437.07,12470.41,19.87,22.0,4917.78,-731.42,2,4000,2023-08-21,0,0,0,0
61,hoh,NY,2024,rental,146967.28,31034.68,0,0,178001.96,21900,0,False,21900,156101.96,30506.97,10692.98,9111.97,2131.03,11243.0,52442.95,29.46,24.0,26195.85,-4311.12,2,4000,2023-02-27,0,0,0,0
62,married,IL,2024,investment,218189.96,0,0,0,218189.96,29200,0,False,29200,188989.96,31683.79,9355.0,10453.2,3163.75,13616.95,54655.74,25.05,22.0,28595.28,-3088.51,4,8000,2024-01-27,0,0,0,0
63,hoh,FL,2024,rental,137796.06,0,0,0,137796.06,21900,0,False,21900,115896.06,20857.55,0.0,8543.36,1998.04,10541.400000000001,31398.95,22.79,24.0,17787.72,-3069.83,3,6000,2023-10-22,0,0,0,0
64,hoh,NC,2024,self_employment,28664.45,8493.15,0,6903.14,44060.74,21900,0,False,21900,22160.74,2427.29,1163.44,1777.2,415.63,2192.83,5783.56,13.13,12.0,2395.86,-31.43,2,4000,2023-07-23,0,0,0,0
65,married,GA,2024,wages,78371.28,13514.62,2313.76,6582.3,100781.96,29200,0,False,29200,71581.96,8125.84,3937.01,4859.02,1136.38,5995.400000000001,18058.25,17.92,12.0,8286.56,160.72,0,0,2024-09-12,0,0,0,0
66,hoh,GA,2024,investment,388991.78,0,8519.1,0,397510.88,21900,0,False,21900,375610.88,101838.56,20658.6,10453.2,5640.38,16093.580000000002,138590.74,34.86,35.0,109646.85,7808.29,1,2000,2024-10-05,0,0,0,0
67,single,CA,2024,investment,395362.19,0,0,0,395362.19,14600,34895.15,True,34895.15,360467.04,96538.21,33523.43,10453.2,5732.75,16185.95,146247.59,36.99,35.0,86822.93,-9715.28,3,6000,2023-10-30,0,0,0,26355.59
68,hoh,IL,2024,wages,130374.56,0,2941.44,0,133316.0,21900,11366.15,False,21900,111416.0,19782.34,5515.09,8083.22,1890.43,9973.65,35271.08,26.46,24.0,19002.44,-779.9,2,4000,2024-08-21,0,11366.15,0,0
69,married,IL,2024,wages,176838.22,0,16678.84,0,193517.06,29200,37647.74,True,37647.74,155869.32,24397.25,7715.53,10453.2,2564.15,13017.35,45130.13,23.32,22.0,28027.03,3629.78,0,0,2023-04-10,18626.52,0,19021.22,0
70,single,NC,2024,self_employment,86899.48,0,6052.41,0,92951.89,14600,40653.79,True,40653.79,52298.1,6558.58,2745.65,5387.77,1260.04,6647.81,15952.04,17.16,22.0,6039.36,-519.22,2,4000,2023-04-12,12402.43,11707.16,13123.49,0
71,hoh,IL,2024,retirement,110169.62,2001.23,0,9490.11,121660.96,21900,32204.27,True,32204.27,89456.69,14733.47,4428.11,6830.52,1597.46,8427.98,27589.56,22.68,22.0,13430.47,-1303.0,4,8000,2023-08-01,0,0,17736.08,0
72,hoh,FL,2024,self_employment,75783.52,0,21.49,1446.88,77251.89,21900,0,False,21900,55351.89,7230.42,0.0,4698.58,1098.86,5797.44,13027.86,16.86,22.0,6689.56,-540.86,1,2000,2023-04-23,0,0,0,0
73,hoh,CA,2024,self_employment,17749.16,1266.93,0,0,19016.09,21900,0,False,21900,0,0.0,0.0,1100.45,257.36,1357.81,1357.81,7.14,10.0,0.0,0.0,3,3803.22,2024-06-22,0,0,0,0
74,single,NY,2024,rental,72758.53,0,0,0,72758.53,14600,0,False,14600,58158.53,7847.88,3983.86,4511.03,1055.0,5566.03,17397.77,23.91,22.0,7192.31,-655.57,4,8000,2023-02-14,0,0,0,0
75,hoh,NC,2024,investment,231731.05,4228.54,0,0,235959.59,21900,21782.12,False,21900,214059.59,46185.57,11238.13,10453.2,3360.1,13813.300000000001,71237.0,30.19,32.0,43763.4,-2422.17,4,8000,2024-06-27,0,2667.98,0,2437.63
76,married,GA,2024,retirement,80542.68,0,6868.62,0,87411.3,29200,3211.81,False,29200,58211.3,6521.36,3201.62,4993.65,1167.87,6161.5199999999995,15884.5,18.17,12.0,5729.18,-792.18,3,6000,2023-11-17,3211.81,0,0,0
77,hoh,WA,2024,investment,477028.3,67871.76,0,0,544900.06,21900,69444.92,True,69444.92,475455.14,136784.05,0.0,10453.2,6916.91,17370.11,154154.16,28.29,35.0,133621.75,-3162.3,0,0,2023-10-22,11493.08,0,0,17069.66
78,hoh,WA,2024,investment,56282.28,2612.57,0,3501.14,62395.99,21900,0,False,21900,40495.99,4627.52,0.0,3489.5,816.09,4305.59,8933.11,14.32,12.0,4705.63,78.11,0,0,2023-10-13,0,0,0,0
79,hoh,FL,2024,rental,128321.72,31506.58,8247.23,0,168075.53,21900,29738.96,True,29738.96,138336.57,26243.28,0.0,7955.95,1860.66,9816.61,36059.89,21.45,24.0,25462.16,-781.12,1,2000,2024-10-10,7108.99,0,8135.42,0
80,single,NY,2024,retirement,41513.29,0,0,0,41513.29,14600,0,False,14600,26913.29,2997.59,1843.56,2573.82,601.94,3175.76,8016.91,19.31,12.0,3196.87,199.28,4,8000,2024-09-02,0,0,0,0
81,single,CA,2024,self_employment,44120.83,8920.82,0,0,53041.65,14600,0,False,14600,38441.65,4381.0,3575.07,2735.49,639.75,3375.24,11331.31,21.36,12.0,4362.16,-18.84,3,6000,2024-02-29,0,0,0,0
82,married,FL,2024,retirement,31381.75,0,0,0,31381.75,29200,0,False,29200,2181.75,218.18,0.0,1945.67,455.04,2400.71,2618.89,8.35,10.0,217.31,-0.87,2,4000,2023-02-16,0,0,0,0
83,single,OH,2024,retirement,25478.2,0,1955.07,2894.47,30327.74,14600,0,False,14600,15727.74,1655.33,629.11,1579.65,369.43,1949.0800000000002,4233.52,13.96,12.0,1466.61,-188.72,3,6000,2024-03-16,0,0,0,0
84,single,TX,2024,rental,84561.53,0,0,0,84561.53,14600,0,False,14600,69961.53,10444.54,0.0,5242.81,1226.14,6468.950000000001,16913.49,20.0,22.0,10122.03,-322.51,0,0,2024-03-22,0,0,0,0
85,single,GA,2024,wages,218974.75,37668.02,9146.44,0,265789.21,14600,0,False,14600,251189.21,58290.97,13815.41,10453.2,3175.13,13628.330000000002,85734.71,32.26,35.0,55226.64,-3064.33,4,8000,2024-04-16,0,0,0,0
86,hoh,IL,2024,wages,123260.15,0,0,0,123260.15,21900,0,False,21900,101360.15,17368.94,5017.33,7642.13,1787.27,9429.4,31815.67,25.81,24.0,19299.62,1930.68,2,4000,2023-08-15,0,0,0,0
87,married,TX,2024,wages,139858.74,0,0,3493.75,143352.49,29200,38305.41,True,38305.41,105047.08,13216.36,0.0,8671.24,2027.95,10699.19,23915.55,16.68,22.0,14298.18,1081.82,3,6000,2024-04-20,17618.12,0,0,0
88,hoh,VA,2024,rental,105358.69,20323.43,3405.28,3161.39,132248.79,21900,23204.5,True,23204.5,109044.29,19213.13,6270.05,6532.24,1527.7,8059.94,33543.12,25.36,24.0,18456.54,-756.59,2,4000,2023-03-20,0,15898.88,7305.62,0
89,hoh,NY,2024,retirement,79407.98,0,0,7389.21,86797.19,21900,0,False,21900,64897.19,9330.38,4445.46,4923.29,1151.42,6074.71,19850.55,22.87,22.0,10475.36,1144.98,4,8000,2024-10-29,0,0,0,0
90,single,IL,2024,retirement,67562.9,0,0,0,67562.9,14600,0,False,14600,52962.9,6704.84,2621.66,4188.9,979.66,5168.5599999999995,14495.06,21.45,22.0,7507.66,802.82,2,4000,2023-03-28,0,0,0,0
91,hoh,TX,2024,wages,80742.34,0,0,0,80742.34,21900,0,False,21900,58842.34,7998.31,0.0,5006.03,1170.76,6176.79,14175.1,17.56,22.0,7693.22,-305.09,2,4000,2024-02-01,0,0,0,0
92,married,IL,2024,retirement,25236.55,2533.62,0,0,27770.17,29200,0,False,29200,0,0.0,0.0,1564.67,365.93,1930.6000000000001,1930.6,6.95,10.0,0.0,0.0,2,4000,2024-11-03,0,0,0,0
93,hoh,TX,2024,investment,45343.48,12470.54,0,0,57814.02,21900,0,False,21900,35914.02,4077.68,0.0,2811.3,657.48,3468.78,7546.46,13.05,12.0,4276.02,198.34,1,2000,2024-09-01,0,0,0,0
94,hoh,NY,2024,investment,281666.42,27756.24,0,9471.09,318893.75,21900,35502.52,True,35502.52,283391.23,69561.68,19412.3,10453.2,4084.16,14537.36,103511.34,32.46,35.0,79995.44,10433.76,1,2000,2023-03-21,3256.86,15500.41,0,0
95,married,NY,2024,retirement,97087.47,25738.34,0,0,122825.81,29200,17788.16,False,29200,93625.81,10771.1,6413.37,6019.42,1407.77,7427.1900000000005,24611.66,20.04,12.0,10483.05,-288.05,1,2000,2024-03-30,0,0,0,14321.06
96,hoh,WA,2024,rental,42760.41,0,3354.0,1940.16,48054.57,21900,0,False,21900,26154.57,2906.55,0.0,2651.15,620.03,3271.1800000000003,6177.73,12.86,12.0,3062.03,155.48,4,8000,2024-03-27,0,0,0,0
97,married,WA,2024,rental,80406.94,0,0,0,80406.94,29200,11769.19,False,29200,51206.94,5680.83,0.0,4985.23,1165.9,6151.129999999999,11831.96,14.72,12.0,5101.92,-578.91,3,6000,2024-06-09,1103.25,0,0,8724.54
98,single,OH,2024,wages,237942.98,0,0,0,237942.98,14600,0,False,14600,223342.98,49156.25,8933.72,10453.2,3450.17,13903.37,71993.34,30.26,32.0,42568.19,-6588.06,4,8000,2024-01-18,0,0,0,0
99,single,OH,2024,wages,109355.35,0,9176.84,0,118532.19,14600,20779.76,True,20779.76,97752.43,16558.53,3910.1,6780.03,1585.65,8365.68,28834.31,24.33,22.0,14468.31,-2090.22,2,4000,2023-08-09,0,0,12528.0,0
100,single,NC,2024,retirement,72777.15,0,0,0,72777.15,14600,0,False,14600,58177.15,7851.97,3054.3,4512.18,1055.27,5567.450000000001,16473.72,22.64,22.0,6786.65,-1065.32,3,6000,2024-10-16,0,0,0,0
101,hoh,GA,2024,wages,49943.03,8940.89,0,0,58883.92,21900,0,False,21900,36983.92,4206.07,2034.12,3096.47,724.17,3820.64,10060.83,17.09,12.0,3880.44,-325.63,1,2000,2023-10-26,0,0,0,0
102,married,CA,2024,retirement,55281.6,3106.5,2893.91,0,61282.01,29200,0,False,29200,32082.01,3385.84,2983.63,3427.46,801.58,4229.04,10598.51,17.29,12.0,3846.39,460.55,4,8000,2024-06-03,0,0,0,0
103,hoh,NC,2024,wages,112852.09,0,11071.23,0,123923.32,21900,0,False,21900,102023.32,17528.1,5356.22,6996.83,1636.36,8633.19,31517.51,25.43,24.0,19045.26,1517.16,2,4000,2023-09-04,0,0,0,0
104,hoh,NY,2024,retirement,93518.7,0,0,0,93518.7,21900,23876.34,True,23876.34,69642.36,10374.32,4770.5,5798.16,1356.02,7154.18,22299.0,23.84,22.0,8954.51,-1419.81,1,2000,2023-02-12,0,6785.33,9046.0,1353.61
105,married,WA,2024,retirement,59822.41,8495.97,0,0,68318.38,29200,0,False,29200,39118.38,4230.21,0.0,3708.99,867.42,4576.41,8806.62,12.89,12.0,3958.77,-271.44,0,0,2024-11-02,0,0,0,0
106,married,WA,2024,wages,204852.04,0,0,0,204852.04,29200,19704.99,False,29200,175652.04,28749.45,0.0,10453.2,2970.35,13423.550000000001,42173.0,20.59,22.0,28150.95,-598.5,1,2000,2024-07-12,0,0,11336.73,8368.26
107,married,IL,2024,wages,43015.5,3955.22,1832.96,0,48803.68,29200,0,False,29200,19603.68,1960.37,970.38,2666.96,623.72,3290.6800000000003,6221.43,12.75,10.0,1873.06,-87.31,0,0,2023-12-28,0,0,0,0
108,hoh,OH,2024,investment,321537.31,5532.83,13061.17,0,340131.31,21900,20503.62,False,21900,318231.31,81755.71,12729.25,10453.2,4662.29,15115.490000000002,109600.45,32.22,35.0,85316.08,3560.37,2,4000,2024-01-28,0,0,20503.62,0
109,hoh,CA,2024,retirement,35343.82,0,0,0,35343.82,21900,0,False,21900,13443.82,1381.26,1250.28,2191.32,512.49,2703.8100000000004,5335.35,15.1,12.0,1205.93,-175.33,1,2000,2024-06-26,0,0,0,0
110,married,OH,2024,investment,326532.56,0,0,4990.44,331523.0,29200,0,False,29200,302323.0,58642.52,12092.92,10453.2,4734.72,15187.920000000002,85923.36,25.92,24.0,59727.51,1084.99,2,4000,2023-09-24,0,0,0,0
111,hoh,GA,2024,self_employment,199327.55,0,9790.97,0,209118.52,21900,39073.66,True,39073.66,170044.86,33853.27,9352.47,10453.2,2890.25,13343.45,56549.19,27.04,24.0,29434.8,-4418.47,4,8000,2023-10-25,0,13630.78,0,25442.88
112,married,TX,2024,self_employment,161833.83,5892.17,0,0,167726.0,29200,44552.47,True,44552.47,123173.53,17204.18,0.0,10033.7,2346.59,12380.29,29584.47,17.64,22.0,17336.8,132.62,3,6000,2024-08-11,0,9596.94,14103.01,2625.98
